User,rating,Tanggal,ulasan
Lx,1,2 bulan lalu,"Pesan makan di warung ingkung taman dolan, utk 6 org, pelayanan sangat buruk, resepsionis tidak ramah & judes..., lokasi tempat makan kotor & banyak nyamuk, pelayanan laaammaaa sekali... sehingga pesanan kami terpaksa kami bungkus... sangat mengecewakan.... NOT RECOMENDED sama sekali... sangat tidak profesional..."
Nabil Farhani,4,7 bulan lalu,"Tempatnya tenang ,asri, sejuk banyak spot foto , kmr jg bersih cocok buat yang bawa bocil sbb bnyak pilihan kolam renang.pelayanannya jg baik ramah2, Makanan jg enak menu banyak pilihan. Cm sayangnya ndak ada tong/timba dalam kamar mandi ndak bisa menampung air panasnya. Untuk kedepannya bisa di tambahin ya."
Erry Widijantoro,5,6 bulan lalu,"Menghabiskan libur lebaran disini. View nya luar biasa utk kami yg setiap hari lihat nya gedung2. Pengalaman yg bagus bagi anak2 untuk dekat dengan alam, banyak kolam renang dg air yg jernih adalah nilai plus buat taman dolan.
Keep up the good work"
Novi Viodi,5,setahun lalu,"Homestay yang nyaman dan tenang. Suasana pedesaan.
Saat malam hari terdengar suara gemericik air dan suara katak. Menginap di tipe standard eksklusif sangat direkomendasikan utk keluarga kecil, kamarnya bersih, ada balkon dg view. Makanannya enak-enak, lokasi strategis, harga terjangkau. Ada kolam renangnya bnyak."
Kidd Shandy,3,7 bulan lalu,Untuk HTM 20rb Kolamnya trgolong kecil dan simple... Seluncuran nya juga msh kurang...tp kl buat nginep sih buat aku OK suasananya enak.. Untk penyajian makanan kurang fast... Tp soal rasa udh lumayan..
Yunita Fera Rahmawati,3,2 tahun lalu,"Pengalaman pertama ke tempat ini, untuk harga relatif murah, respon CSnya lumayan cepat. Untuk breakfast dpt all you can eat, untuk rasa sangat recommended. Tempatnya luas banget, tidak direkomendasikan utk org tua. View di malam hari gemerlap bintang, utk pagi hari bisa jalan2 sampai di perkebunan. Enak untuk refreshing. Banyak tanaman disekitarnya. Banyak pilihan swimming poolnya. Untuk anak2 harus dlm pengawasan, krn hanya diamankan dengan tali tampar untuk naik turun tangga. Sangat membahayakan jika jatuh.
Untuk minusnya, pelayanannya sangat kurang, salam senyum sapa ga pernah ada, juteknya ampunn deh. Sy dtg bersama rombonga  di weekday tp diberi harg weekend, dimint menghubungi CS lg utk prosesnya, rumit! Utk kamar lumayan bersih. Harus bersih2 dl sebelum mau dipakai tidur. Toilet cm 1 aja utk barak dg 10 orang sangat kurang, jd harus pakai toilet luar. Pintu toilet rusak, ammenities yg disediakan jg tdk komplit hanya 8 botol aqua, sabun shampo juga terbatas dan pintu toilet rusak gabisa ditutup. Untuk breakfast, cafenya sempit. Saran: jika tamu full tolong ditambah meja kursi lagi, proses refill lama, bahkan sebelum jam habis sdh ga direfill lagi. Pdhl baru jam 8 pagi. Pemeriksaan ketika check out juga lama. Masih banyak bangunan yg belum jadi, masih proses renovasi.
Untuk parkir susahhh banget dan minim tempatnya krn lahannya miring.
Mohon ditingkatkan terutama pelayanannya, lebih ramah dan tanggap thd layanan customer serta lbh profesional lagi."
Mary Rizkia,5,9 bulan lalu,"Tempat yg sangat unik.Beragam pwrmainan traditsional bisa kita temukan disini. Konsep penginapannya sgt menarik sgn tema permainan tradisional. Alamnya msh segar,natural dan dikelilingi berbagi kebun sayur dan buah. Jgn coba coba kesini sendiri tempat ini covoknya rame rame bareng keluarga atau rekan kerja. Disini jg bs buat outbond, tubbing dll"
Ayu Tyas,5,8 bulan lalu,"Tempat wisata edukasi cocok untuk kegiatan sekolah bersama anak-anak. Ada river tubing, kolam renang, ninja warrior, petik selada, dan lain-lain.
Tempatnya sejuk, adem, ramah anak, kamar mandinya banyak, bersih, rapi, musholla oke, aula juga oke, staffnya juga ramah"
Endah Purwa,5,setahun lalu,"Wisata alam dengan sajian edukasi. Dapat dikunjungi dan sesuai untuk berbagai usia, dari anak-anak hingga dewasa.
Terdapat kolam renang yang pasti disukai anak.
Tersedia fasilitas penginapan dengan nama-nama aneka permainan tempo doeloe.
Lokasinya sangat strategis terletak di jalan raya ke arah Batu"
syareefa putri,5,11 bulan lalu,Sangat menyenangkan... Anak2 suka banget outbond di taman dolan.. Belajar plus bermain.. Tidak membosankan.. Pelayanan nya Oke banget... Walaupun tadi sempet hujan deras saat river tubbing tapi anak2 happy banget..disini anak2 juga dijaga banget sama pendampingnya.. Dijamin aman.. Makasih banyak mas hendri dkk atas pelayanan nya⭐⭐⭐⭐⭐⭐⭐tahun depan kesini lagi🤭
Lili Nur,1,sebulan lalu,"Tempatnya alam banget. Tapi sayang sekali tidak di jelaskan di awal mengenai breakfast yang tidak buffet. Tapi diantar ke lokasi.
Awal nginep sini, breakfast nya buffet.
Pas kesini lagi, tidak ada penjelasan di awal jika di antar ke lokasi dan tidak buffet. Dan petugas bilang, Klo khusus hari ini tidak buffet. Kasian dong  orang2 yang nginep khusus hari ini. Jika tidak di jelaskan di awal."
Khoiruddin Yanuar Syam,5,seminggu lalu,"Dari sekian kali pernah nginep di hotel, hanya taman dolan yang menyediakan 1 sajadah di room-nya. Semoga berkah melimpah 🤍🙏"
Risharyanto Rizhar,5,2 tahun lalu,"Keren, Alami dan Sejuk. Cocok buat Healing bareng keluarga plus bocah kecil. Sekedar saran, kalo kalian dateng lokasi sekitar tengah hari langsung coba aja masuk kolam renangnya. Tapi kalo nginep, besoknya masuk kolam jangan dibawah jam 10..soalnyo airnyo duingino bangeto guys..."
titi yusliyanti,5,2 tahun lalu,"Menginap sehari disana pas weekend lumayan rame karena ada yg gathering. check in sangat cepat bila kamar yg mau ditempati sudah siap kita akan langsung diantar, standart check in jam 3 tapi kemarin jam 2 lebih sudah bisa masuk.

Recomended untuk yg bawa anak kecil, bisa main di sawah, ada sungai kecil di bawah, ada mini outbound, kolam renang juga (ada 4 lokasi kolam renang), tapi kalau bawa orang tua apalagi yg punya masalah saat jalan patut dipertimbangkan karena lokasi cukup luas dan di daerah perbukitan sehingga kalau mau menuju lokasi sarapan atau ke kamar penginapan harus melalui jalan menurun yg lumayan.

Soal kamar, kemarin dapat kamar bekelan, konsepnya tradisional dengan full interior dari kayu, jadi 1 kamar ini bentuknya 1 rumah kecil, kamar mandi sudah ada water heater juga, sangat nyaman. lokasi kamar lumayan kalo jalan dari parkiran belakang apalagi kalau kalian remaja jompo yg jalan dikit udah capek. Plusnya di depan kamar ada gazebo buat nongkrong

Geser ke pemandangan, luar biasa siang dan malam, langsung bisa lihat hamparan sawah, kalo malem ngga serem karena banyak lampu yg dipasang.

Sarapan menu tradisional ya, ortu cocok banget sama menunya, tapi kalo kalian mau cari makanan lain diluar juga deket dari warung"" makanan, mau pesen room service juga bisa.

Paling seneng bisa nongkrong di gazebo"" yg udah disiapin, banyak banget  di dekat cafe di pinggir sawah."
Pudiono Pudiono,5,setahun lalu,"Taman Dolan , pemandangan bagus tepi sawah , ada beberapa kolam renang , untuk anak dan dewasa , udara cukup sejuk segar karena banyak pohon 2 , mau makan juga ada yang jual , tinggal pilih makanan yang suka , harga terjangkau , pelayanan baik , untuk bermalam di sini juga bisa , baru pertama kali datang ke tempat ini , untuk istirahat sebentar makan dan minum kopi , bagi teman 2 yang sudah cukup usia , harus hati 2 karena jalan banyak naik turun tangga , jadi saya belum pernah bermalam di sini , mungkin kalau berlibur lagi ke kota Batu baru akan saya coba ."
Moch Fadhlurrohman Nafis (MUSLIMFLUENCER),5,10 bulan lalu,"Homestaynya nyaman, buka jendela kamar langsung view persawahan. Harga homestay tapi berasa di hotel 🔥 Lengkap dengan area outbond serta kamar dengan berbagai tipe.

Pengalaman outbond yang seru & menyenangkan 😚 Tempat staycation seru bersama keluarga ataupun rekan kerja.

Sedikit saran, di beberapa fasilitas ada yang berdebu. Meski nuansanya jawa, tapi akan lebih baik kayunya dilap agar bersih."
Benny Yanuar,5,2 tahun lalu,"Terletak di dekat Batu Love Garden. Lokasinya terlihat kecil dari luar tetapi dalamnya sangat luas. Di sini terdapat cafe , kolam renang dan penginapan. Untuk berenang kami membayar tiket perorang 15.000 pada saat weekend. dan membeli paketan snack seharga 50.000. Rasa makanannya cukup enak. Lingkungannya sangat asri, menempel langsung dengan sawah dan perkebunan selada air."
jacksport ngalam,5,3 bulan lalu,"Wisata edukasi cocok untuk segala usia, ada penginapan juga model tempo dulu. Bisa outbond, bisa belajar bersama anak, ada kolam renang yg semakin bertambah luas lokasinya.
Saran sedikit mungkin beberapa titik memerlukan penambahan penerangan lampu terutama akses menuju kamar bagian room belakang, dan di dalam kamar juga perlu menambah penerangan.
Pasti bakal kembali ke tempat langganan keluarga kami ini 👏👍"
BilBighBam Irvanendra,5,setahun lalu,"Buat yang hobi main air & pengen renang di pemandian bernuansa alami bisa nih merapat kesini.tempatnya adem,mudah dijangkau.tiket masuk juga ngga terlalu mahal. Eh,ga cuma berenang aja loh,disini jg ada cottage2 yg nyaman buat liburan bersama keluarga.
Yang pengen bikin acara sekolah,kampus,kantor juga bisa outbond disini
Cuma mau makan & ngopi???bisa jugalaaah..
Coba sendiri aja deh.."
Jocelyne Mirabel,4,setahun lalu,"Tempat cukup nyaman utk melakukan berbagai kegiatan. Byk pohon, rindang, byk tempat duduk buat sekedar bersantai menikmati kopi, view sawah, salesnya ramah, kamar oke, kolamnya ada byk."
Faridz Rizal Fachri,4,7 tahun lalu,"Penginapan dengan konsep alam dan tradisional yg cukup menarik. Terletak di dekat Kota Wisata Batu, akses yg mudah, dikelilingi oleh sawah, menjadikan tempat ini sangat recommended utnuk menghabiskan waktu bersama keluarga ketika liburan.

Harganya benar2 terjangkau, dengan design kamar tidur yg unik (didominasi elemen kayu), dengan view kaca besar yg langsung mengarah ke pemandangan sawah, benar indah. Kita bisa menyaksikan para petani sedang merawat sawahnya di pagi hari.

Pelayannya juga lumayan OK, dan kisa bisa request juga apa yg kita butuhkan, seperti menambahkan ornamen bunga pada tempat tidur untuk palet bulan madu.

Hal yg perlu ditingkatkan lagi adalah, kerapian di sekitar lokasi Taman Dolan, untuk keversihan sudah OK, tinggal kerapian nya yg perlu diperhatikan dan dirawat."
Wahyudi Kurniawan,4,2 tahun lalu,"Bener2 berasa balik ke desa kakek / nenek dengan masih banyak nya sawah, ngrasain gigitan nyamuk yang bener2 khas nyamuk nya Ndak takut di pukul 😁

Overall masuk,, cuman mungkin bisa di kroscheck lagi beberapa kebutuhan kamar yang bisa jadi masukan.."
Wati Utami,5,Diedit setahun lalu,"Penginapan yg asri dan terasa alami bgt, nyampek sini langsung lunch dgn masakannya yg enak bgt, dapat breakfast yg mantap dan lengkap dgn buah + singkong gorengnya, semua pelayannya juga sopan dan ramah²,selalu menyapa klo papasan sama pengunjung, kolam renang bersih, ada kolam renang khusus untuk yg bermalam ditaman dolan, nggak jadi satu sama kolam renang  yg untuk umum, pemandangan klo pagi Bagus bgt, lokasi jg dekat sama coban lanang cukup ditempuh dgn naik mobil 10 menit aja dari penginapan udah sampai, klo naik motor malah cuma 5 menit.
Next time pasti kesini lagi ❤️"
Safira Afuza Adri,5,setahun lalu,"Dengan harga menengah, interior kamarnya biasa aja, view-nya persawahan, jalanan antar kamar naik turun, tapi seru klo ngadain gathering disana."
Wahyu Pangarso,5,6 bulan lalu,"Menyenangkan, kembali ke alam.. natural, cocok bermain atau liburan dengan keluarga atau kolega"
Gandis Wulan,4,4 tahun lalu,"Tempatnya strategis pinggir jalan. Alami segerr banget semilir angin nya. Menunya juga termasuk variatif dan rasanya mayanlah ga mengecewakan. Harga sesuai lah , ada yg paket keluarga juga dan free tiket masuk. Ada kolam anak dan dewasa tapi pas kesana yg dewasa agak kotor rontokan daun sih. Yg mau nginep juga ada penginapan nya lo , model vintage kayu2 gituu."
Ayu Trans,4,2 tahun lalu,"Kali k3 staycation dsni, pelayanan keseluruhan cukup memuaskan.
Tp kmrin agk kurang mengesankan krn mungkin habis hujan swimpool sedikit kotor, dan lg highseason jg jdi familyroom ku water heaterny ga ada, utk fasilitas lainny oke.
Lebih ditingkatkan lagi yahh utk kelengkapan fasilitas, sukses trus taman dolan"
Citra Setyo Wk,4,6 tahun lalu,"Tempat ini cocok bagi yang suka Outbound, ada paketan murahnya...  Bagi yang muda dan penuh tantangan. Ada kamar yang kereeen banget buka cendela langsung pemandangan nya hamparan sawah yang cantiiik banget, ini saya foto tapi nggak sesuai aslinya yang aduuuh nggak bisa aku ucapkan, kayak di Bali Indah banget. Harganya terjangkau badgetnya jugabisa disesuaikan. Kamarnya bisa digunakan ber 10 orang yang tentu saja murah meriah jatuhnya. Pelayanan ramah, lingkungan bersih nuansa pedesaan, alami,  airnya dingin banget karena dari sumber air, benar2 air yang bikin awet muda kalau kita mandi disini tiap hari, karena air dari sumber. Hmmmm..  Yuuuk rame2 menginap di Taman Dolan yuuuuukkkkk..."
Kusbandi Feri,5,setahun lalu,"Tempatnya recomended banget,cocok buat refresh bareng keluarga,harga kamar murah,makanannya juga enak..suasana klo malam hari tenang sekali..."
naya,4,3 bulan lalu,"Saya datang ke resto, pelayanan karyawan semua bagus kecuali RESEPSIONIS CEWEK ditanya menu rekomen jawabnya ogah² an, kalo karyawan modelan kayak dia usaha cepet rugi pdhl makanan enak semua.. kalo bisa resepsionis cewek diganti aja"
MAKE SIMPLE 86,5,setahun lalu,"Tempatnya bersih,luas,banyak spot foto juga,pemandangannya bagus,suasana sejuk bgt dan rindang kamarmandinya juga banyak. Jadi pas acara rame* kmren ngga sampe antri banyak buat mandi wkwk..."
Nurul Khasanah,5,2 tahun lalu,Untuk tiket masuk renang aja hanya 10 rb per orang anak dibawah 3 thn free.. bagus banget view nya instragamble .. wort itttt 🫶🏻🫶🏻🥰🥰🥰🥰
Sri Wahyuni,4,6 tahun lalu,"Salah satu tempat yg bisa menjadi alternatif menginap, outbound, makan dan minum . Berada di jalan raya Pandarejo Bumiaji Kota Batu Jawa Timur. Jalan raya arah ke karanglo sebagai salah satu alternatif jalan ke Surabaya.

Suasana nyaman, asri dan tenang dengan taman yang tertata rapi.
Bangunannya di domonisasi bahan dari kayu yg terlihat alami dan bikin sejuk.

Ada fasiltas kolam renang anak anak dari sumber Mata air alami yg segar dan bening.

Fasiltas lengkap ada beberapa pilihan buat nyantai dan makan dengan pilihan menu beragam.

Bisa menjadi salah satu tujuan keluarga anda."
yunior logam,5,7 bulan lalu,"Nginap di Taman dolan tempatnya,enak,sejuk,bagus,view pedesaan banget"
Grab Andreas,4,2 tahun lalu,"Hotel yang konsepnya cukup baik, cuman kurang terawat... Fasilitas sedikit kurang sesuai dengan harga... Meja u/ meletakan barang2x sangat minim..."
Wedha Aryandi,5,4 tahun lalu,"Yang bikin menarik di penginapan Taman Dolan ini viewnya bukan kaleng2..

Lokasinya memang agak sedkit jauh dri kota batu/ Malang tapi untuk room dan fasilitasny okey..

Lokasinya di pinggir jalan ..

Aku pesan yg standart room untuk 2 org.
Pesan via pegi2 untuk harganya sendiri 214k, 1 kmr isi 2 org, sdh termasuk  sabun.. sampo.. pasta gigi dan sikat, dapat handuk juga sandal,  ada tv kabel juga wifi.. no breakfast

Tapi gk mslah karena di sana juga menyedikan menu2 pilihn klw mw order makan..

Di belakang penginapan ada cafe yg berlokasi id tengah2 sawah gtu.. sedkit kurang terurus kata petugasny memang pembangunan terhambat semenjak corona..

Tapi serius gk nyesel kok nginep disni"
Putri F Windiningtyas,4,5 tahun lalu,"Tempat wisata dengan konsep alami. Tersedia kolam renang untuk dewasa dan anak-anak, restoran, home stay dan juga outbond.
Tiket masuk hanya15k per orang.
Bisa bersantai di gubuk sambil menikmati lagu dan juga suara alami air.
Makanannya enak dengan harga yang cukup terjangkau.
Kebersihan di setiap gubuk perlu diperhatikan, semoga kedepannya lebih baik lagi 😍"
wahyu ratnasari,4,7 tahun lalu,"Tempatnya bersih, bagus n nyaman buat kumpul bareng keluarga apalagi yang bawa anak kecil karena ada kolam renangnya,
fasilitas yang disediakan cukup memadai
Lokasinya juga gampang dicari karena di pinggir jalan
Recommended untuk dikunjungi 😁😊"
Alansyah Albar,1,setahun lalu,"Kurang wort it, harga sekamar 750rb isi 4 orang gak ada ac gak ada kipas angin pun, memang pemandangannya bagus saya akuin penataan taman sangat joss, tapi kenyamanan kamar diperhatikan juga dong, colokan gak ada listriknya, dg harga sgtu saya rasa kurang layak, apalagi gak dapat breakfast dg harga diatas 500eb harusnya dapat breakfast"
Densai Densai,5,5 tahun lalu,Tempat bersih dan nyaman. Lokasi cottage yang dekat sawah dan sungai membuat view bagus(langsung dari jendela kamar). Lokasi masuk gang membuat suara kendaraan hampir tak terdengar.hanya suara kericik air sawah yg terdengar. Recommended banget buat yg pengen cari ketenangan. Air hangat juga berfungsi normal.
Nikamah Tukijan,5,2 minggu lalu,Tempat yang asik buat kumpul bareng keluarga. Tanpa harus ke luar area semuanya tersedia di Area.
Dewi Yoestiana,5,7 tahun lalu,"Lokasi mudah ditemukan, di sisi jalan Raya Pandanrejo, Bumiaji,  Batu. kenyamanan dan keceriaan yang bisa diperoleh dengan harga terjangkau. Mengusung konsep sederhana alam pedesaan nan asri, dilengkapi dengan kolam renang dan arena outbond yang menantang. Sembari menikmati beberapa pilihan paket menu makanan dan minuman khas Jawa yang lezat."
Febri Ariyanto,5,3 tahun lalu,"Nyaman, sejuk, asri, suasana persawahan dengan view gunung arjuna dan gunung kawi, tempat bermain juga luas, makanannya enak banget, cuman di dalam kamar perlu dikasih wastafel."
Lisa Afrida Ayu Sitepu,4,5 tahun lalu,"Tempatnya lumayan bagus, ala ala pedesaan gitu. Cuman parkir yg didepan itu muat sedikit, don't worry katanya masih ada tempat parkir yg lainnya. Ada penginapan jg. Bolehlah sesekali mampir kesini, secara tiket masuknya murah"
Melani Vina,5,setahun lalu,"Tempatnya sangat asri, udaranya segar. Cocok banget untuk acara kantor, sekolah, kampus, dll. Untuk acara kantor ada tim event yang menangani. Banyak kegiatan seru yang ditawarkan, seperti flying fox dan river tubing.

Kawasannya cukup luas, pemandangannya sangat bagus. Ada 4 kolam renang disini. Cocok banget buat yang punya anak kecil.

Makanan yang disediakan juga enak. Menunya beragam. Rasanya mantap"
otheks herlambang,4,7 tahun lalu,kolam renang yg cocok untuk anak2 aja.. harga murah meriah cuma 10rb... awalnya tertarik karena lihat di google ternyata ga sesuai harapan...  hehe...  overall lumayan lah...
Brilliant Matriwiria,1,Diedit 5 tahun lalu,"Menginap tggl 24 Oktober,

1. extra bed tidak sama dengan asalnya tipis dan dibawah padahal sudah di charge 150rb no bf.
2. TV hanya beberapa channel.
3. wifi tidak bagus.
4. tambah bantal charge 25rb , minta air hangat di charge (hotel bintang tidak pernah di charge)
5. saat mau pinjam alat makan, dilarang makan di kamar , katanya harus breakfast di hotel, hello.. gimana klo tamu pesan food by grab/gojek , klo gitu jangan jual kamar Room only. dan masukan di hotel policy.
6. security tidak ada waktu malam, parkiran tidak ada yg jaga.
7. Kolam renang kotor.

Plus nya:
1. Ada kegiatan edukasi anak jam 7.30 pagi.
2. View pedesa an
3. Kamar luas.
4. Ada gazebo di sebelah sawah.

Semoga bisa di perbaiki"
Ratih,5,6 tahun lalu,"Cocok untuk menikmati hari libur terbebas dari hiruk pikuk kota. Tempat menginap yang dikelilingi areal persawahan. Ketika pagi, terdengar burung - burung berkicau dan juga suara air sungai mengalir. Ketika malam, terdengar suara jangkrik yang nyaring. Sungguh suasana yang ngga akan didapatkan saat berada di Kota. Areal Taman.Dolan memang tidak mencolok terlebih ketika kita tiba pada malam hari sehingga harus berhati - hati agar tidak terlewat. Untuk kamar standart cukup baik. Dengan fasilitas kamar mandi dalam, televisi, dan juga telepon untuk menghubungi pihak resepsionis. Kita juga mendapat sarapan."
Chaka ahmad,5,6 bulan lalu,"tempatnya nyaman,aman, santuyyy gokss abis"
Maiang Danna,2,Diedit 2 tahun lalu,"Kualitas kamar Ketapel ""Tidak Baik"" (dibandingkan dengan pengalaman menginap sebelumnya dikamar gedrik dan wayang).
- wifi tidak terkoneksi internet
- sandal homestay hanya 1 pasang (seharusnya 2 pasang)
- handle door lock kamar mandi rusak, susah dikunci
- kamar bau apek dan lembab
- debu pekat menempel di dinding kayu
- atap kayu banyak kotoran
- reruntuhan pasir dan kotoran dari atap jatuh di bed dan cover bed
- banyak semut berkeliaran di bed dan cover bed
- ada kotoran tikus di tepi / sudut kamar
- sempat ada masalah air dikamar mandi tidak mengalir sama sekali baik di keran, shower, dan jet shower. Saat menyampaikan keluhan via telepon 801/11, salah satu cs wanita yg terhubung merespon dengan jawaban yg membingungkan dan kurang solutif"
leony yustissia,5,3 bulan lalu,"Homestay yg nyaman, luas dan pemandangan sangat indah. Kamar juga bersih. Breakfast lumayan enak. Staff ramah, okelah untuk semua."
Hendri eko setiawan,3,Diedit 3 tahun lalu,"Pengalaman menginap disini minggu, 13 September 2020
Udaranya segar karena berdampingan dengan sawah, pemandangan juga bagus.
Masakannya juga enak cuma roomnya kurang nyaman.
Didinding kayu dengan jendela kaca besar yg cukup lebar tapi kordennya satu layer  gak bisa tertutup rapat jadi privasi sangat kurang apalagi tiap kamar saling berdekatan.
Biasanya kalau dihotel nambah extra bed dapat sarapan tambahan juga tapi disini enggak. Udah konfirmasi tapi katanya memang gak dapat 😀
Mohon diperbaiki lagi pelayanannya"
